Watch_ID,Brand,Model,Collection,Movement_Type,Case_Material,Dial_Color,Strap_Material,Water_Resistance_m,Release_Year,Price_USD,Units_Sold,Customer_Rating,Country,Warranty_Years
W00001,Patek Philippe,Submariner,Chronograph,Automatic,Ceramic,White,Gold,200,2007,70568,2086,4.8,Japan,2
W00002,Cartier,Big Bang,Elegance,Manual,Ceramic,Green,Gold,200,2000,91092,2851,4.2,Switzerland,5
W00003,Breitling,Navitimer,Elegance,Quartz,Stainless Steel,Blue,NATO,150,2021,16930,4755,4.2,USA,3
W00004,Cartier,Submariner,Chronograph,Manual,Stainless Steel,Black,Leather,100,2014,26952,206,4.1,Germany,5
W00005,Cartier,Luminor,Professional,Manual,Platinum,Gray,Leather,200,2014,87793,4974,3.1,Italy,3
W00006,Cartier,Luminor,Diver,Manual,Titanium,Blue,Rubber,100,2018,129775,1424,3.5,Italy,2
W00007,Patek Philippe,Santos,GMT,Manual,Platinum,Blue,NATO,50,2009,10927,633,4.3,Japan,5
W00008,Cartier,Submariner,Tourbillon,Quartz,Titanium,Silver,NATO,300,2018,48564,1897,3.1,Germany,7
W00009,Hublot,Speedmaster,Diver,Quartz,Gold,Blue,Stainless Steel,50,2008,92681,786,4.2,Germany,7
W00010,Omega,Carrera,Aviator,Automatic,Platinum,White,Stainless Steel,100,2006,67120,682,3.1,Japan,5
W00011,Tag Heuer,Speedmaster,Sport,Quartz,Gold,Black,Stainless Steel,500,2013,62779,460,3.0,Italy,2
W00012,Rolex,Luminor,GMT,Quartz,Stainless Steel,Green,Leather,150,2001,110488,1554,4.8,Italy,10
W00013,Rolex,Submariner,Professional,Manual,Platinum,Silver,Rubber,500,2021,121785,4119,4.8,Germany,3
W00014,Tag Heuer,Santos,Tourbillon,Quartz,Stainless Steel,Gray,Rubber,50,2012,114047,485,3.6,Germany,10
W00015,Patek Philippe,Big Bang,Diver,Manual,Ceramic,White,Gold,200,2019,18992,3113,4.7,Japan,3
W00016,Audemars Piguet,Big Bang,Heritage,Quartz,Stainless Steel,Black,Rubber,50,2022,93495,2860,3.1,Italy,3
W00017,Patek Philippe,Big Bang,Sport,Automatic,Ceramic,Green,Stainless Steel,50,2003,66273,209,3.8,Italy,3
W00018,Rolex,Santos,GMT,Manual,Titanium,Black,NATO,50,2006,30761,4617,4.0,Japan,10
W00019,Rolex,Nautilus,Diver,Quartz,Ceramic,White,Gold,150,2021,75454,3507,3.8,Japan,7
W00020,Tag Heuer,Submariner,Diver,Quartz,Titanium,Gray,Leather,100,2007,117555,2931,3.7,USA,7
W00021,Cartier,Speedmaster,Tourbillon,Manual,Ceramic,Gray,Rubber,150,2022,147027,2245,4.2,Germany,7
W00022,Patek Philippe,Carrera,Sport,Automatic,Ceramic,Black,NATO,200,2015,69695,4202,4.4,Germany,2
W00023,IWC Schaffhausen,Luminor,Elegance,Automatic,Gold,Blue,Stainless Steel,100,2024,63197,3183,4.9,Germany,10
W00024,Tag Heuer,Carrera,Elegance,Quartz,Gold,Black,Leather,200,2019,149140,3084,3.3,Switzerland,3
W00025,Hublot,Luminor,Heritage,Quartz,Stainless Steel,Blue,Leather,100,2008,64823,3719,4.8,Switzerland,2
W00026,Rolex,Submariner,Classic,Quartz,Gold,Gray,Rubber,100,2020,85243,4657,4.6,Japan,2
W00027,Tag Heuer,Submariner,Chronograph,Manual,Titanium,White,NATO,500,2010,112352,4792,3.6,USA,10
W00028,Patek Philippe,Portugieser,GMT,Manual,Gold,Silver,Stainless Steel,50,2024,81308,2915,3.4,Switzerland,5
W00029,Rolex,Speedmaster,Tourbillon,Manual,Stainless Steel,Blue,Stainless Steel,50,2013,127834,2861,3.2,Germany,5
W00030,Audemars Piguet,Navitimer,GMT,Quartz,Platinum,Gray,Stainless Steel,150,2003,133182,2899,3.8,USA,7
W00031,Tag Heuer,Luminor,Tourbillon,Automatic,Titanium,Black,Stainless Steel,100,2018,96343,4250,4.1,Italy,7
W00032,Breitling,Royal Oak,Elegance,Manual,Platinum,Gray,Rubber,200,2014,128454,2952,4.1,Japan,7
W00033,Rolex,Navitimer,Tourbillon,Automatic,Titanium,Black,Rubber,50,2013,120373,3190,3.8,Switzerland,5
W00034,Patek Philippe,Big Bang,Sport,Quartz,Stainless Steel,Black,NATO,500,2022,124823,1436,4.4,USA,2
W00035,Omega,Carrera,Classic,Manual,Gold,Gray,Gold,200,2015,23645,2420,4.4,Switzerland,2
W00036,IWC Schaffhausen,Submariner,Heritage,Manual,Platinum,White,Rubber,500,2019,108051,649,4.0,Switzerland,2
W00037,Panerai,Royal Oak,Professional,Manual,Platinum,Green,Stainless Steel,50,2020,81249,1235,4.1,Japan,7
W00038,Cartier,Luminor,Elegance,Quartz,Gold,Black,NATO,100,2002,29219,676,3.4,Switzerland,5
W00039,Panerai,Nautilus,Professional,Quartz,Stainless Steel,Black,Stainless Steel,200,2005,119614,1372,4.1,Japan,7
W00040,Patek Philippe,Luminor,Professional,Quartz,Gold,Blue,Rubber,150,2003,56995,81,3.2,Japan,3
W00041,Hublot,Carrera,Aviator,Automatic,Ceramic,Silver,NATO,150,2000,102366,1442,4.1,Italy,7
W00042,Hublot,Luminor,Classic,Automatic,Ceramic,Gray,Stainless Steel,150,2017,11758,1427,4.3,Germany,3
W00043,Omega,Luminor,Chronograph,Manual,Ceramic,Black,Gold,50,2007,140077,2408,5.0,Italy,3
W00044,Cartier,Santos,Diver,Manual,Platinum,White,Leather,50,2015,148757,4594,3.8,Switzerland,5
W00045,Breitling,Speedmaster,Sport,Quartz,Platinum,Green,Leather,150,2019,146049,3984,4.0,Italy,2
W00046,Omega,Navitimer,Tourbillon,Quartz,Stainless Steel,Green,Stainless Steel,200,2015,107475,4504,3.9,USA,10
W00047,Panerai,Nautilus,GMT,Quartz,Titanium,Green,Leather,50,2014,37622,2966,3.5,Italy,7
W00048,Omega,Submariner,Chronograph,Manual,Gold,White,Gold,150,2001,47442,2289,3.2,Italy,5
W00049,Panerai,Luminor,GMT,Quartz,Titanium,Green,Gold,50,2011,9483,525,4.3,Italy,7
W00050,Rolex,Nautilus,Heritage,Automatic,Platinum,Gray,Stainless Steel,300,2003,134496,4283,3.1,Japan,3
W00051,Hublot,Portugieser,Heritage,Automatic,Gold,Green,Gold,200,2022,94962,2608,3.9,Germany,2
W00052,Rolex,Luminor,Sport,Manual,Platinum,Blue,Leather,100,2010,13536,3066,3.0,Italy,2
W00053,IWC Schaffhausen,Santos,Tourbillon,Manual,Stainless Steel,Green,Stainless Steel,200,2001,141467,523,4.9,Italy,10
W00054,Cartier,Santos,Tourbillon,Automatic,Gold,Blue,Leather,100,2005,102303,546,4.4,Germany,3
W00055,Breitling,Royal Oak,Elegance,Quartz,Platinum,Blue,Gold,150,2016,44920,159,3.4,Italy,10
W00056,Panerai,Big Bang,Tourbillon,Manual,Ceramic,Blue,Gold,50,2018,24500,3172,3.6,Germany,7
W00057,Breitling,Carrera,Diver,Manual,Ceramic,White,NATO,150,2008,94928,851,3.6,Italy,2
W00058,Panerai,Navitimer,Chronograph,Manual,Platinum,Black,Rubber,500,2004,72265,1547,4.0,Italy,2
W00059,Patek Philippe,Portugieser,Chronograph,Automatic,Titanium,Silver,Rubber,100,2013,106812,1430,4.3,USA,10
W00060,Omega,Carrera,GMT,Manual,Stainless Steel,Gray,Stainless Steel,300,2015,39671,1552,3.2,USA,3
W00061,IWC Schaffhausen,Carrera,Aviator,Automatic,Stainless Steel,Gray,Leather,100,2023,106824,1367,4.3,USA,2
W00062,Hublot,Royal Oak,Sport,Automatic,Platinum,Green,Rubber,50,2000,125071,77,3.1,Japan,5
W00063,Panerai,Santos,Sport,Quartz,Stainless Steel,Silver,Stainless Steel,300,2019,31071,4521,4.8,Switzerland,5
W00064,Breitling,Speedmaster,Diver,Quartz,Gold,Black,Gold,50,2002,90025,1309,4.0,USA,3
W00065,IWC Schaffhausen,Nautilus,Tourbillon,Quartz,Stainless Steel,Blue,Rubber,300,2009,141329,4633,4.9,Switzerland,3
W00066,Audemars Piguet,Submariner,Aviator,Manual,Ceramic,Blue,Leather,50,2024,143742,3049,4.3,Germany,10
W00067,Audemars Piguet,Speedmaster,Elegance,Automatic,Platinum,Blue,NATO,100,2014,141758,2060,3.8,Switzerland,3
W00068,Rolex,Speedmaster,Elegance,Manual,Gold,Blue,NATO,100,2022,118177,3442,4.6,Germany,10
